Nr.;GTIN;brandName;productName;Energy  [kJ];Energy [kcal];Fat;Fat_isEqual;OfWhichSaturated;OfWhichSaturated_isEqual;Carbohydrate;Carbohydrate_isEqual;OfWhichSugar;OfWhichSugar_isEqual;Protein;Protein_isEqual;Salt;Salt_isEqual;oneHundred_referenceUnit;barcode;detailedProductName;netContent;netContentUnit;packagingMarkedLabelAccreditation;organicClaim;percentageOfAlcoholByVolume;percentageOfAlcoholByVolume_isEqual;packagingRecyclingProcessType;brick_code;brick decription
1;4018715002840;Sinalco;Cola;178;42;0;TRUE;0;TRUE;10;TRUE;10;TRUE;0;TRUE;0.05;TRUE;ml;4018715002840;Koffeinhaltige Limonade Mit natürlichem Mineralwasser;1.25;l;N/A;N/A;N/A;TRUE;[50];10000201;Erfrischungsgetränke, aromatisiert – trinkfertig
2;4002631015251;Karlsberg;Karlsberg Export;185;44;0;TRUE;0;TRUE;0;TRUE;0;TRUE;0;TRUE;0;TRUE;ml;4002631015251;Export;0.5;l;N/A;N/A;5.5;TRUE;[232];10000159;Bier
3;4002631016715;Karlsberg;Karlsberg ICED BLUE;N/A;N/A;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;4002631016715;Biermischgetränk;0.33;l;N/A;N/A;5;TRUE;[232];10000159;Bier
4;5000112548167;Coke;Coca-Cola light taste;0.8;0.2;N/A;TRUE;N/A;TRUE;0;TRUE;0;TRUE;N/A;TRUE;0.02;TRUE;ml;5000112548167;kalorienfreies, koffeinhaltiges Erfrischungsgetränk mit Pflanzenextraken, mit Süßungsmitteln;0.5;l;N/A;N/A;N/A;TRUE;[50];10000201;Erfrischungsgetränke, aromatisiert – trinkfertig
5;5000112645798;Coke;Coca-Cola;180;42;0;TRUE;0;TRUE;10.6;TRUE;10.6;TRUE;0;TRUE;0;TRUE;ml;5000112645798;Koffeinhaltiges Erfrischungsgetränk mit Pflanzenextraken;0.33;l;N/A;N/A;N/A;TRUE;[50];10000201;Erfrischungsgetränke, aromatisiert – trinkfertig
6;4311596438839;Gut & Günstig;Junge Brechbohnen;110;26;0.4;TRUE;0.1;TRUE;2.9;TRUE;0.5;TRUE;1.5;TRUE;0.5;TRUE;g;4311596438839;Junge Brechbohnen fein;800;g;N/A;N/A;N/A;TRUE;N/A;10000006;Gemüse – nicht bearbeitet / verarbeitet (ohne Kühlung haltbar)
7;4311501472613;Edeka;Tortenpfirsiche;221;52;0.12;TRUE;0;TRUE;11.1;TRUE;10.3;TRUE;0.7;TRUE;8;TRUE;g;4311501472613;Pfirsich, in Schnitten, mit Pfrisichsaft;410;g;[258];N/A;N/A;TRUE;N/A;10000003;Obst – nicht bearbeitet / verarbeitet (ohne Kühlung haltbar)
8;4011800202026;Bad Schwartau;Gourmet-Frühstück;839;198;0.1;TRUE;0;TRUE;46.6;TRUE;46.1;TRUE;0.6;TRUE;0.03;TRUE;g;4011800202026;Fruchtaufstrich Aprikose;250;g;N/A;N/A;N/A;TRUE;N/A;10000217;Marmeladen / Gelees / Konfitüren (ohne Kühlung haltbar)
9;4311596062546;Gut & Günstig;Champignons;76;18;0.4;TRUE;0.1;TRUE;0.2;TRUE;0.1;TRUE;2.1;TRUE;0.45;TRUE;g;4311596062546;Champignon III. Wahl geschnitten;290;g ;N/A;N/A;N/A;TRUE;N/A;10000272;Gemüse – bearbeitet / verarbeitet (ohne Kühlung haltbar)
10;4104420021242;Alnatura;Ednusscreme crunchy;2636;636;53;TRUE;15;TRUE;12;TRUE;6.4;TRUE;25;TRUE;0.98;TRUE;g;4104420021242;Bio Erdnusscreme gesalzen mit gerösteten Erdnussstückchen;250;g;[240, 221];[14, 53];N/A;TRUE;N/A;10000280;Dipsaucen / Würzsaucen / Feinkostsaucen / Aufstriche / Marinaden (ohne Kühlung haltbar)
11;4045317050290;Bärenmarke;Die Ergiebige, 10% Fett;637;153;10;TRUE;6.7;TRUE;9.8;TRUE;9.8;TRUE;5.9;TRUE;0.23;TRUE;g;4045317050290;Kondensmilch, wärmebehandelt, 10% Fett;340;g;N/A;N/A;N/A;TRUE;N/A;10000190;Sahne (ohne Kühlung haltbar)
12;4040600082934;Südmilch;Kännchen Sahne 12% Fett wärmebehandelt;561;136;12;TRUE;8;TRUE;3.9;TRUE;3.9;TRUE;3;TRUE;0.1;TRUE;g;4040600082934;Kaffeesahne wärmebehandelt, 12% Fett;200;g;N/A;N/A;N/A;TRUE;N/A;10000189;Sahne (leicht verderblich)
13;3017800251607;d’aucy;Erbsen Dampfgegart;322;77;0.8;TRUE;0.2;TRUE;8.7;TRUE;2.2;TRUE;5.5;TRUE;0.04;TRUE;g;3017800251607;Erbsen, vakuumverpackt;110;g;[230];N/A;N/A;TRUE;N/A;10000272;Gemüse – bearbeitet / verarbeitet (ohne Kühlung haltbar)
14;3083680000369;Bonduelle;Möhrchen;98;23;0.3;TRUE;0.1;TRUE;3.4;TRUE;2.2;TRUE;0.6;TRUE;0.55;TRUE;g;3083680000369;Möhrchen;200;g;N/A;N/A;N/A;TRUE;N/A;10000272;Gemüse – bearbeitet / verarbeitet (ohne Kühlung haltbar)
15;4311596434749;Gut & Günstig;Kaffeeweißer;2295;550;35;TRUE;31.9;TRUE;57.1;TRUE;10.3;TRUE;1.7;TRUE;0.13;TRUE;g;4311596434749;N/A;250;g;N/A;N/A;N/A;TRUE;N/A;10006971;Milchersatz (ohne Kühlung haltbar)
16;4006544307007;Südzucker AG;Puderzucker;1700;400;0;TRUE;0;TRUE;100;TRUE;100;TRUE;0;TRUE;0;TRUE;g;4006544307007;Puderzucker;250;g;[225];N/A;N/A;TRUE;N/A;10000043;Zucker / Zuckerersatzstoffe (ohne Kühlung haltbar)
17;4311501669921;Gut & Günstig;Kondensmilch;553;132;7.5;TRUE;5;TRUE;10.1;TRUE;10.1;TRUE;6.1;TRUE;0.25;TRUE;g;4311501669921;Kondensmilch, wärmebehandelt, 7,5% Fett;340;g;[39, 225, 135];N/A;N/A;TRUE;N/A;10000607;Milch / Butter / Sahne / Käse / Eier / Ersatzprodukte – Mischpackungen
18;4104420072084;Alnatura;Orangensaft;187;44;0.5;FALSE;0.5;FALSE;10;TRUE;10;TRUE;1;TRUE;0.01;FALSE;ml;4104420072084;Bio Orangensaft pasteurisiert;0.33;l;[221, 225, 240, 209];[14, 53];N/A;TRUE;N/A;10000223;Fruchtsaftgetränke – trinkfertig (ohne Kühlung haltbar)
19;4008452027589;Molkerei Weihenstephan GmbH & co. KG;Haltbare Milch;198;47;1.5;TRUE;1;TRUE;4.9;TRUE;4.9;TRUE;3.5;TRUE;0.13;TRUE;ml;4008452027589;Fettarme H-Milch, 1,5% Fett, ultrahocherhitzt, homogenisiert;1;l;[225, 209];N/A;N/A;TRUE;N/A;10000026;Milch (ohne Kühlung haltbar)
